"方案A","方案B","李华博士","赵明教授","王丽经理","Saaty值(几何平均)"
"产学研合作能力","多源数据融合能力","1.0","5.0","1.0","1.71"
"产学研合作能力","创新模型构建能力","3.0","1.0","1.0","1.4422"
"产学研合作能力","实证案例研究能力","3.0","3.0","3.0","3.0"
"产学研合作能力","政策洞察与建议能力","2.0","4.0","1.0","2.0"
"多源数据融合能力","创新模型构建能力","1.0","1.0","1.0","1.0"
"多源数据融合能力","实证案例研究能力","3.0","4.0","3.0","3.3019"
"多源数据融合能力","政策洞察与建议能力","3.0","3.0","1.0","2.0801"
"创新模型构建能力","实证案例研究能力","3.0","3.0","1.0","2.0801"
"创新模型构建能力","政策洞察与建议能力","1.0","3.0","3.0","2.0801"
"实证案例研究能力","政策洞察与建议能力","1.0","1.0","1.0","1.0"
