"排名","编号","方案名称","需求特征与匹配性","运营效率与经济性","资源约束与供给能力","研究创新与决策支撑","综合权重"
"1","F03","选址与需求匹配度","0.2846","0.0","0.0","0.0","0.1493"
"2","F18","区域电网承载力","0.0","0.0","0.8083","0.0","0.1333"
"3","F01","需求时空分布动态性","0.2256","0.0","0.0","0.0","0.1183"
"4","F02","设备利用率峰谷差","0.0","0.4381","0.0","0.0","0.1062"
"5","F13","需求时空波动性","0.1544","0.0","0.0","0.0","0.081"
"6","F04","投资回收周期","0.0","0.3281","0.0","0.0","0.0795"
"7","F14","城市锚点依赖度","0.1294","0.0","0.0","0.0","0.0679"
"8","F16","车桩时空耦合度","0.0861","0.0","0.0","0.0","0.0452"
"9","F05","用户时间成本","0.0","0.1513","0.0","0.0","0.0367"
"10","F15","边缘里程焦虑效应","0.0616","0.0","0.0","0.0","0.0323"
"11","F19","有效供给真实度","0.0","0.0","0.1917","0.0","0.0316"
"12","F17","有效需求转化率","0.0584","0.0","0.0","0.0","0.0306"
"13","F08","产学研合作能力","0.0","0.0","0.0","0.3131","0.0214"
"14","F06","站点类型差异化特征","0.0","0.0825","0.0","0.0","0.02"
"15","F09","多源数据融合能力","0.0","0.0","0.0","0.2411","0.0165"
"16","F10","创新模型构建能力","0.0","0.0","0.0","0.2275","0.0155"
"17","F12","政策洞察与建议能力","0.0","0.0","0.0","0.1186","0.0081"
"18","F11","实证案例研究能力","0.0","0.0","0.0","0.0997","0.0068"
"19","F07","调控机制有效性","0.0","0.0","0.0","0.0","0.0"
